# ---------------------------------------------------------------------
# Matlab-based LabVIEW reference file generation
# National Instruments Dresden GmbH, Dresden, Germany
# 
# File Data Type        : (Reference) Data
# Generator script      : 
# System model base path: 
# System model SVN rev. : UNKNOWN
# Run date/time         : 14-Apr-2022 13:22:03
# Run by                : user "" on system ""
# ---------------------------------------------------------------------
DataID;bits
M ; Packet 1
D;1
D;0
D;1
D;0
D;1
D;0
D;1
D;1
D;1
D;1
D;1
D;0
D;1
D;1
D;0
D;1
D;0
D;1
D;0
D;0
D;0
D;0
D;1
D;0
D;1
D;1
D;1
D;1
D;0
D;1
D;1
D;1
D;1
D;1
D;1
D;1
D;1
D;1
D;0
D;0
D;0
D;0
D;1
D;0
D;0
D;0
D;1
D;1
D;1
D;1
D;0
D;1
D;0
D;0
D;1
D;1
D;0
D;1
D;0
D;1
D;1
D;1
D;0
D;0
D;0
D;0
D;0
D;1
D;0
D;0
D;0
D;1
D;0
D;1
D;1
D;0
D;0
D;0
D;0
D;1
D;0
D;0
D;1
D;0
D;0
D;1
D;0
D;0
D;1
D;0
D;1
D;0
D;0
D;0
D;0
D;0
D;0
D;0
D;1
D;1
D;0
D;0
D;1
D;0
D;1
D;0
D;1
D;1
D;0
D;0
